id,societe,adresse,telfixe,nom,prenom,fax,gsm,idUser,email
4,1iRDbKk9,Vbbi4MOS,UHB7luTy,6KUuakxf,xPtkwu2f,obEzfvvG,AUgZADAE,vNZ6T4YO,X06iN6gH
705,1ytUJAi7,EXo9huOy,lUMyaauI,apoXp1pc,uZMTXcrT,FfBZTZ5b,IbzzuE95,UarLT3ZF,OOQ7WfoK
291,I8rY6v7b,nPDmuSOf,aQ3LGFy7,SkqrZHy8,6BAFwjyv,vtR5uJ9U,h0cEbUL4,H1TrI9JS,32rJBu3z
810,VJenHYI5,ZjqNps79,fvB24U2M,60HoDfdx,HjeXNDy1,KwQh81uk,whhlYYxm,JbZpbYnm,FL009hlC
882,fmYz29Ps,stssWQ85,77NPjS2z,USBFEUeh,QRIPIQmw,zOoftvNH,eoXJXytC,DWX4MTCX,8clPbwmz
630,uIgOLlHy,dMlXrKOj,A5hGrxa4,TOqNLSR0,ddMEEL3N,ZzwHqcSI,Irfmf1f0,3GwaeX2H,i7NuWWSs
916,0UCv5ohg,0HnQTnYU,oKvtltAN,SFHjdtay,ZnLHXXLv,GlBntiuw,AqKZJeCM,vNZ6T4YO,1DXgd4a6
962,4SM7ssjj,wr3kX0q7,nRI73ez8,XpAXZGJf,SMmKLEyY,1d7jY03I,7IqFqeCi,3GwaeX2H,eKdV9F8d
362,USlzSbpZ,L8I6WxWr,ySG6zCIi,yVmOivQj,czjhw2Gh,8z7hPqvn,0HnU3ReP,9ApHAsYX,nC37nWjM
763,NTwGy736,WMY84S2S,WzJHegwv,Vr4tYnmv,DZqqN9L3,ZheQVl18,bNdtWQmb,vNZ6T4YO,8vu18645
