num_parcelle,id_douar,cin,lieu_correspondance,num_marche
tkWx1pDA,159,pkNnkR7x,yaUTRVjlUJNyBvCpLOdzTATQbwZ5XtroDeSeNG2UUVfeMMcTrC,btvVUBGq
PYOZM4HR,203,pkNnkR7x,Cg87FXBd6DEwpSPVMFl86JdIZz0jReB87PCmd7Fho5IpKiA1s7,IQ3x0t7c
qDk2JI1R,203,pkNnkR7x,9EGxvL6z4vlyuTLv2Z6BP82VCYUezGxKSybjaR06npOixEeoPG,xH9uVSKx
tkWx1pDA,203,w4HMzKOE,0aifGaE17BF34tAi67GpruArp04e1l81wsyqpIWvIjPflb1mEB,J8vBDevY
qDk2JI1R,967,w4HMzKOE,7RiSfRJKSJayHs9OkNIvf6jClrnzBpxTCIMxiFswnvDo8BRIOY,J8vBDevY
0YX2taM9,547,w4HMzKOE,sy6DAp9NIOQpsKCCsDAjm8L4OIplHZSxUzhzTSgFsx5ZiIKCzd,0zuIPRIW
zcUXxcKc,56,Kksbbbsb,JKBgO9W5a4qdJ2wCw0Ta2uxaJMogaSgcKcFAIdKZN9tpduWLAj,Q4w07jjd
zcUXxcKc,159,Kksbbbsb,ARQ1W6FFvvonrYFF9GttA1lr4rNPGmLlZfjVRUYhVZkXsKgubu,J8vBDevY
byzMpnqv,160,WiPcqcnO,VFEzje9jbQHpjAJ5J0WncGYvmaZJ5JfBB7hG8EL2wg3N5Cv5Oj,IQ3x0t7c
0YX2taM9,159,0FzXMtBE,qHj1a4Wfh0uPe59iGqI01H0VVJU2LRvQr9ogPBE48VoxMxKjWd,xH9uVSKx
