num_parcelle,id_douar,cin,quote_denominateur,quote_numerateur,acte,lieu_correspondance,date_acte,num_marche
byzMpnqv,818,qJvOQuW5,288,887,fcmsRwEX,KHRxj8UKpRWCJvPm7CiAfEfwOySOWGsFKGgGm2DKJjREl2CPu2,6AKmivjb,S3c50XwC
HzTqfX7L,547,SHQmPpeO,459,149,YsVOkaNc,zdmP0XtWH6dLjDuw1UdzVzyhiYxfp0upR0djyGFnx9B3zZ1OEF,lAu9KnCu,FNS2RRB1
qDk2JI1R,547,SHQmPpeO,869,544,Cpfr40gd,PdN9AEsbO5IAY0Du4dMu3JXR6o42Bsd6vGIkCQL02wJ5nn5ybO,S5IlPsa2,nyKmZjRt
0YX2taM9,818,1aO0H1Mo,831,728,i3gFOywE,Y2pgIRUziixRUL0ISsngEJ24sRVMgijIbv4AmLzJfupLiZpBl9,mln9rYMo,KG7ZOYWf
zcUXxcKc,427,E8QmO7mX,486,4,hG3ddMmU,ER94YdqyA4YindZPZmpL8aljQyYQ4Lwq3QbEuzEAljP4yf1737,Cda9aPak,jcobWBRr
0YX2taM9,160,1aO0H1Mo,435,911,YsVOkaNc,iSKUkOpEXfbi48g7p1Y2zNRN6KFH7X67egj7eYcOj5a4srSX3i,wJqj06YP,jcobWBRr
tkWx1pDA,160,cmw85sj4,177,751,i3gFOywE,j5jknHSp0fxeXmy4rCqqdkMhhKZRUvWa9AzySOXr3wLiuXppQA,MEuH2Goq,nyKmZjRt
PYOZM4HR,203,1aO0H1Mo,734,154,gnZpZg9a,XBARVD5LeMoYXofet6XYgcr6VfqMrfBbGlX7iPGb8z2kdBlg5D,2XzZvfkB,ZLJlypMA
H6JJKupp,967,SHQmPpeO,377,779,6vehPElA,YvRfLLYpaGpbaybpTGVI9uIiHTzkDDfCEjCDFzj8tu9JjEwZVE,yHj406s6,TFCuh8F6
byzMpnqv,115,uVUS8lA3,646,504,gnZpZg9a,tCummDM6DaO5TnzwIvJMRfMdExMMyMaRuLkdjfHKqcFH8AprlA,4g2wV4UH,FNS2RRB1
